month,total_rain_mm,monthly_tmax_C,monthly_tmin_C,rainy_days
1,54.1,4.2,-7.2,17
2,43.6,6.1,-1.4,23
3,39.9,8.7,0.7,17
4,24.9,12.3,-1.7,6
5,51.6,17,7.4,22
6,45.2,20.5,12.5,20
7,129.1,21.3,13.2,26
8,80.6,18.1,13.4,22
9,59.6,19.3,11.2,8
10,66.9,13.8,8.2,17
11,55.6,9.7,-2.3,18
12,60.3,7.6,-15.2,19
