month,total_rain_mm,monthly_tmax_C,monthly_tmin_C,rainy_days
1,36.7,4,-16.7,22
2,66,4.7,-8.1,19
3,31.2,8.2,-4.1,14
4,50.9,11.7,-2.2,19
5,19,19.9,3.7,8
6,78.6,22.6,10.4,16
7,84,20.4,13.7,24
8,23.6,19.8,14.1,14
9,76.8,19.9,5.3,13
10,67.5,13.2,2.8,13
11,40.7,9.1,-7.4,16
12,55,7.2,-7.3,18
