month,total_rain_mm,monthly_tmax_C,monthly_tmin_C,rainy_days
1,38.8,2.7,-13.8,19
2,22.7,4.9,-11.4,11
3,25.5,7.8,-2.6,15
4,23.5,12,-0.7,9
5,96.2,14.1,4.7,20
6,89.9,20.5,10.9,19
7,131.9,19.7,11.9,23
8,73.3,17.4,10.6,23
9,41.8,17.5,7.6,11
10,46.5,14.8,5.9,11
11,29,7.4,-4.6,15
12,42.2,2.1,-13.7,18
